Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001,Chrome 89.0.4389.90,Data driven test for finding service centre around the several suburb names in the data files,,2021-03-27 19:11:49,2021-03-27 19:20:19,8m - 29.847s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 19:11:53,2021-03-27 19:12:27,34.638s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 19:11:54,2021-03-27 19:11:58,4.593s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 19:11:58,2021-03-27 19:11:59,0.776s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 19:11:59,2021-03-27 19:12:02,3.339s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:02,2021-03-27 19:12:04,1.381s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 19:12:04,2021-03-27 19:12:06,2.085s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:06,2021-03-27 19:12:08,2.530s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_ 87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:08,2021-03-27 19:12:09,1.103s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:09,2021-03-27 19:12:14,4.199s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:14,2021-03-27 19:12:18,4.694s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_ search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:18,2021-03-27 19:12:22,4.029s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 19:12:22,2021-03-27 19:12:23,1.117s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:23,2021-03-27 19:12:24,0.785s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:24,2021-03-27 19:12:27,2.458s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/h2_6 Service NSW locations""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:27,2021-03-27 19:12:27,0.605s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 19:12:27,2021-03-27 19:12:57,29.873s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 19:12:27,2021-03-27 19:12:30,2.967s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 19:12:30,2021-03-27 19:12:31,0.198s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 19:12:31,2021-03-27 19:12:35,4.482s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:35,2021-03-27 19:12:37,2.044s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 19:12:37,2021-03-27 19:12:39,1.511s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:39,2021-03-27 19:12:42,3.606s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_ 87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:42,2021-03-27 19:12:43,0.668s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:43,2021-03-27 19:12:46,3.117s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:46,2021-03-27 19:12:50,4.297s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_ search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:50,2021-03-27 19:12:51,0.857s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 19:12:51,2021-03-27 19:12:54,2.835s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:54,2021-03-27 19:12:55,0.612s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 19:12:55,2021-03-27 19:12:57,2.125s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/h2_6 Service NSW locations""), 0)",Chrome 89.0.4389.90,,,2021-03-27 19:12:57,2021-03-27 19:12:57,0.514s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 19:12:57,2021-03-27 19:14:17,1m - 19.935s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 19:12:57,2021-03-27 19:13:00,2.614s,PASSED
