Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001,Chrome 89.0.4389.90,Data driven test for finding service centre around the several suburb names in the data files,,2021-03-27 18:39:35,2021-03-27 18:47:54,8m - 19.726s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 18:39:37,2021-03-27 18:40:07,29.753s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 18:39:38,2021-03-27 18:39:41,3.072s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 18:39:41,2021-03-27 18:39:41,0.358s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 18:39:41,2021-03-27 18:39:45,3.505s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 18:39:45,2021-03-27 18:39:46,1.238s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 18:39:46,2021-03-27 18:39:49,2.602s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 18:39:49,2021-03-27 18:39:52,3.470s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:39:52,2021-03-27 18:39:53,0.596s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 18:39:53,2021-03-27 18:39:57,3.926s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 18:39:57,2021-03-27 18:39:59,2.516s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:39:59,2021-03-27 18:40:02,2.475s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 18:40:02,2021-03-27 18:40:02,0.955s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:02,2021-03-27 18:40:03,0.603s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:03,2021-03-27 18:40:06,3.269s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/h2_Service NSW locations""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:40:06,2021-03-27 18:40:07,0.493s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 18:40:07,2021-03-27 18:40:34,27.524s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 18:40:07,2021-03-27 18:40:09,2.451s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 18:40:09,2021-03-27 18:40:10,0.209s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 18:40:10,2021-03-27 18:40:13,3.621s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:13,2021-03-27 18:40:14,1.158s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 18:40:14,2021-03-27 18:40:16,1.646s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:16,2021-03-27 18:40:19,3.285s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:40:19,2021-03-27 18:40:20,0.771s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:20,2021-03-27 18:40:23,3.377s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:23,2021-03-27 18:40:26,2.492s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:40:26,2021-03-27 18:40:29,3.446s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 18:40:29,2021-03-27 18:40:30,0.999s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:30,2021-03-27 18:40:31,0.616s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:31,2021-03-27 18:40:34,2.913s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/h2_Service NSW locations""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:40:34,2021-03-27 18:40:34,0.514s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 18:40:34,2021-03-27 18:41:04,29.939s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 18:40:35,2021-03-27 18:40:37,2.465s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 18:40:37,2021-03-27 18:40:37,0.229s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 18:40:37,2021-03-27 18:40:43,6.042s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 18:40:43,2021-03-27 18:40:45,1.271s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 18:40:45,2021-03-27 18:40:46,1.611s,PASSED
