Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001,Chrome 89.0.4389.90,Data driven test for finding service centre around the several suburb names in the data files,,2021-03-27 18:00:26,2021-03-27 18:09:52,9m - 25.971s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 18:00:28,2021-03-27 18:00:58,30.132s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 18:00:29,2021-03-27 18:00:32,3.087s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 18:00:32,2021-03-27 18:00:32,0.235s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 18:00:32,2021-03-27 18:00:35,3.321s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:35,2021-03-27 18:00:36,1.120s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 18:00:36,2021-03-27 18:00:39,2.625s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:39,2021-03-27 18:00:44,5.002s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:00:44,2021-03-27 18:00:45,0.919s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:45,2021-03-27 18:00:48,2.997s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:48,2021-03-27 18:00:50,2.293s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:00:50,2021-03-27 18:00:53,3.039s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 18:00:53,2021-03-27 18:00:54,0.921s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:54,2021-03-27 18:00:55,0.617s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 18:00:55,2021-03-27 18:00:57,2.779s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/h2_Service NSW locations""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:00:57,2021-03-27 18:00:58,0.536s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 18:00:58,2021-03-27 18:01:26,28.023s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 18:00:58,2021-03-27 18:01:01,2.612s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 18:01:01,2021-03-27 18:01:01,0.174s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 18:01:01,2021-03-27 18:01:05,4.242s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 18:01:05,2021-03-27 18:01:06,1.138s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 18:01:06,2021-03-27 18:01:08,1.589s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 18:01:08,2021-03-27 18:01:12,3.690s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:01:12,2021-03-27 18:01:12,0.576s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 18:01:12,2021-03-27 18:01:16,3.542s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 18:01:16,2021-03-27 18:01:19,2.952s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_search by suburb""), 0)",Chrome 89.0.4389.90,,,2021-03-27 18:01:19,2021-03-27 18:01:22,3.295s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 18:01:22,2021-03-27 18:01:23,0.961s,PASSED
